,Index,Content ID,Reaction Type,Datetime,Sentiment,Score,Content Type,Category
55,63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-12-07 19:13:23,negative,5,photo,healthy eating
56,64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2020-08-03 16:41:04,positive,75,photo,healthy eating
57,65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2021-01-10 15:36:01,positive,72,photo,healthy eating
58,66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,2020-09-20 8:48:13,negative,15,photo,healthy eating
59,67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,2020-07-20 14:06:31,positive,70,photo,healthy eating
60,68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-24 12:15:34,positive,72,photo,healthy eating
61,69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-06 1:27:19,positive,30,photo,healthy eating
62,70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-12-25 0:09:41,positive,60,photo,healthy eating
63,71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,2021-06-14 7:56:56,positive,50,photo,healthy eating
64,73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-11-18 23:37:37,negative,5,photo,healthy eating
65,74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-05-09 2:42:43,positive,30,photo,healthy eating
66,75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-05-11 8:38:47,negative,10,photo,healthy eating
67,76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,2020-11-12 8:00:05,neutral,35,photo,healthy eating
68,77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2020-06-21 16:57:09,positive,60,photo,healthy eating
69,78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,2021-03-04 23:58:54,positive,75,photo,healthy eating
70,79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-07-09 16:47:07,positive,70,photo,healthy eating
71,80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,2020-08-01 19:16:01,negative,5,photo,healthy eating
72,81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2020-11-23 22:46:17,negative,10,photo,healthy eating
73,83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,2021-04-23 23:41:18,negative,10,photo,healthy eating
74,84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,2020-11-13 0:33:42,positive,70,photo,healthy eating
75,85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2021-06-09 10:13:56,positive,30,photo,healthy eating
76,86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,2020-10-29 19:41:49,positive,65,photo,healthy eating
77,87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,2021-05-14 12:47:27,positive,60,photo,healthy eating
78,88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,2020-08-04 5:40:33,negative,0,photo,healthy eating
79,89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-08-07 4:09:29,positive,72,photo,healthy eating
80,90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-10-23 21:19:27,positive,72,photo,healthy eating
81,91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,2020-11-14 23:53:51,positive,72,photo,healthy eating
82,93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,2020-11-12 4:54:46,positive,30,photo,healthy eating
83,95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,2021-04-03 12:17:12,negative,12,photo,technology
84,96,356fff80-da4d-4785-9f43-bc1261031dc6,want,2020-09-27 22:15:54,positive,70,photo,technology
85,97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,2020-10-27 5:45:15,positive,60,photo,technology
86,98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,2020-10-15 9:11:23,negative,15,photo,technology
87,99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,2021-05-07 9:16:35,positive,60,photo,technology
88,100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,2020-09-16 8:39:40,negative,5,photo,technology
89,101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,2020-10-29 15:38:26,neutral,20,photo,technology
90,103,01ab84dd-6364-4236-abbb-3f237db77180,scared,2021-05-24 18:03:26,negative,15,video,food
91,105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2021-02-25 20:02:53,positive,30,,
92,106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,2021-05-02 3:45:03,negative,5,,
93,107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,2021-01-28 8:49:29,positive,70,,
94,108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2021-02-15 13:06:04,neutral,35,,
95,109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2020-11-04 21:25:52,negative,10,,
96,110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,2020-06-23 22:12:03,positive,65,,
97,111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2021-02-16 4:01:15,positive,70,,
98,112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2021-01-03 8:44:25,positive,30,,
99,113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2020-11-25 12:45:41,positive,72,,
100,115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,2021-05-22 21:03:24,positive,50,,
101,116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2021-01-18 13:39:54,positive,70,,
102,117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,2021-01-06 0:35:24,neutral,20,,
103,118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2021-05-14 14:33:17,positive,72,,
104,119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,2021-05-27 15:21:54,negative,12,,
105,120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2020-07-21 2:12:26,neutral,35,,
106,121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2021-05-26 6:09:46,negative,10,,
107,122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2021-02-25 3:16:57,negative,10,,
108,123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,2020-12-07 22:50:16,positive,45,,
109,125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2020-09-01 21:18:45,neutral,35,,
110,126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,2021-05-10 22:07:25,positive,72,,
111,128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2021-02-12 16:37:36,positive,70,video,dogs
112,129,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-04-28 15:22:49,positive,60,video,dogs
113,130,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,2021-01-24 0:38:50,positive,45,video,dogs
114,131,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,2021-03-18 1:53:44,negative,12,video,dogs
115,132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-14 7:21:32,negative,0,video,dogs
116,133,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-12-23 4:11:42,positive,60,video,dogs
117,134,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2021-05-21 7:23:46,negative,5,video,dogs
118,135,3f8590c7-6ab2-4973-805a-90cdec355f05,like,2021-03-28 23:25:16,positive,50,video,dogs
119,136,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,2020-09-16 7:33:24,neutral,35,video,dogs
120,138,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-03-06 5:23:29,positive,60,video,dogs
121,139,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-01-13 23:35:56,negative,0,video,dogs
122,140,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2020-09-06 22:35:47,positive,70,video,dogs
123,141,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-06-24 9:31:00,positive,30,video,dogs
124,142,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2021-02-07 21:39:16,negative,5,video,dogs
125,143,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,2021-01-21 18:28:01,positive,45,video,dogs
126,144,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2021-02-27 0:21:50,negative,10,video,dogs
127,145,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,2020-08-22 12:06:49,negative,12,video,dogs
128,146,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2020-08-03 6:29:58,positive,70,video,dogs
129,148,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2021-06-04 4:57:36,positive,70,video,dogs
130,149,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,2020-10-21 9:07:21,positive,75,video,dogs
131,150,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2020-12-26 19:46:34,negative,10,video,dogs
132,151,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2021-03-02 22:47:19,negative,15,video,dogs
133,152,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,2021-03-31 9:48:00,neutral,20,video,dogs
134,153,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2021-06-14 13:44:48,positive,30,video,dogs
135,154,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2020-12-27 17:04:31,negative,15,video,dogs
136,155,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2021-02-11 3:51:01,negative,15,video,dogs
137,156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-12-07 19:07:35,positive,30,video,dogs
138,158,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-10-26 5:27:32,positive,30,video,dogs
139,159,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,2020-09-26 18:43:58,negative,12,video,dogs
140,160,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2020-11-25 13:01:22,negative,15,video,dogs
141,161,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-07-11 5:51:54,positive,60,video,dogs
142,162,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2021-03-19 16:23:19,positive,60,video,dogs
143,163,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,2020-10-11 18:31:06,positive,30,video,dogs
144,164,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,2020-11-02 20:15:03,positive,60,video,dogs
145,165,3f8590c7-6ab2-4973-805a-90cdec355f05,want,2020-10-01 3:35:13,positive,70,video,dogs
146,166,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,2021-02-11 20:10:20,negative,0,video,dogs
147,168,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2020-10-17 11:46:24,negative,5,video,dogs
148,169,3f8590c7-6ab2-4973-805a-90cdec355f05,like,2020-08-09 19:41:24,positive,50,video,dogs
149,170,3f8590c7-6ab2-4973-805a-90cdec355f05,love,2021-02-01 2:40:09,positive,65,video,dogs
150,171,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,2021-01-30 9:36:48,positive,72,video,dogs
151,173,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,2021-03-31 15:24:36,positive,70,video,technology
152,174,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,2021-02-05 17:00:19,positive,75,video,technology
153,175,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,2021-02-19 16:29:59,positive,60,video,technology
154,176,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,2020-07-25 0:00:21,negative,12,video,technology
155,178,0bedca96-fb76-4287-a83c-17330ed39cce,adore,2020-07-13 2:38:53,positive,72,photo,soccer
156,179,0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,2021-01-13 13:11:03,neutral,20,photo,soccer
157,180,0bedca96-fb76-4287-a83c-17330ed39cce,worried,2021-01-02 16:46:38,negative,12,photo,soccer
158,181,0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,2020-11-26 2:25:57,positive,45,photo,soccer
159,182,0bedca96-fb76-4287-a83c-17330ed39cce,want,2020-08-25 19:18:58,positive,70,photo,soccer
160,183,0bedca96-fb76-4287-a83c-17330ed39cce,hate,2021-02-01 0:15:07,negative,5,photo,soccer
161,184,0bedca96-fb76-4287-a83c-17330ed39cce,love,2021-06-04 14:36:48,positive,65,photo,soccer
162,185,0bedca96-fb76-4287-a83c-17330ed39cce,adore,2020-08-19 13:38:44,positive,72,photo,soccer
163,186,0bedca96-fb76-4287-a83c-17330ed39cce,cherish,2021-04-22 2:08:07,positive,70,photo,soccer
164,188,0bedca96-fb76-4287-a83c-17330ed39cce,like,2020-08-15 18:16:38,positive,50,photo,soccer
165,189,0bedca96-fb76-4287-a83c-17330ed39cce,love,2020-11-26 13:42:17,positive,65,photo,soccer
166,191,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2021-04-14 0:56:54,positive,70,photo,public speaking
167,192,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2020-07-21 21:27:18,neutral,20,photo,public speaking
168,193,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,2021-03-29 6:57:35,negative,10,photo,public speaking
169,194,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2021-05-20 16:11:03,positive,70,photo,public speaking
170,195,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2020-11-02 6:09:02,positive,50,photo,public speaking
171,196,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2020-10-24 15:37:55,neutral,20,photo,public speaking
172,197,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,2020-09-07 14:42:05,positive,60,photo,public speaking
173,198,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-03-04 2:46:37,negative,15,photo,public speaking
174,199,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,2021-01-07 14:08:59,positive,72,photo,public speaking
175,201,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2021-03-27 4:56:15,positive,50,photo,public speaking
176,202,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,2020-11-21 21:25:27,positive,45,photo,public speaking
177,203,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,2020-08-22 1:25:23,positive,70,photo,public speaking
178,204,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,2021-06-14 11:45:51,neutral,35,photo,public speaking
179,205,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,2020-07-15 19:28:53,negative,12,photo,public speaking
180,206,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,2021-03-21 14:39:14,positive,45,photo,public speaking
181,207,b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,2021-04-07 3:15:32,positive,75,photo,public speaking
182,208,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,2021-04-24 6:56:18,positive,70,photo,public speaking
183,209,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,2020-09-30 14:05:52,positive,60,photo,public speaking
184,211,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-01-21 7:08:24,negative,15,photo,public speaking
185,212,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-01-31 13:48:15,negative,15,photo,public speaking
186,213,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,2020-12-24 3:24:57,negative,5,photo,public speaking
187,214,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-05-27 1:44:22,negative,0,photo,public speaking
188,215,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,2021-02-13 4:14:45,negative,0,photo,public speaking
189,216,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,2020-07-14 4:36:58,positive,72,photo,public speaking
190,217,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,2020-07-15 16:03:17,negative,10,photo,public speaking
191,218,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2020-10-08 17:23:39,positive,50,photo,public speaking
192,219,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,2020-11-12 23:55:59,positive,60,photo,public speaking
193,221,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,2020-07-09 8:58:04,positive,45,photo,public speaking
194,222,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,2020-06-26 23:45:10,positive,72,photo,public speaking
195,223,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,2020-11-20 13:18:45,negative,12,photo,public speaking
196,224,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,2021-05-29 21:34:57,positive,50,photo,public speaking
197,225,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,2021-02-22 2:48:34,neutral,20,photo,public speaking
198,226,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-01-07 18:39:43,negative,15,photo,public speaking
199,227,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,2020-10-01 15:10:15,positive,72,photo,public speaking
200,228,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,2020-11-21 8:24:23,negative,5,photo,public speaking
201,229,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2021-04-15 13:50:58,negative,15,photo,public speaking
202,231,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,2020-12-01 15:06:19,positive,70,photo,public speaking
203,232,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,2020-11-07 0:47:34,negative,15,photo,public speaking
204,234,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,2020-06-30 13:08:43,positive,75,,
205,235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,2020-08-04 3:09:30,positive,60,,
206,236,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,2020-07-28 7:01:21,positive,45,,
207,237,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,2020-10-25 2:39:21,positive,75,,
208,238,5118e9c5-1377-4cc5-a486-65b35b7b7b76,worried,2020-07-05 3:37:53,negative,12,,
209,239,5118e9c5-1377-4cc5-a486-65b35b7b7b76,cherish,2021-04-28 15:16:13,positive,70,,
210,240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,indifferent,2021-01-31 0:54:10,neutral,20,,
211,241,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,2020-08-29 11:37:51,positive,72,,
212,242,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,2020-10-15 12:09:51,positive,45,,
213,244,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,2020-10-31 21:46:10,negative,15,,
214,245,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,2020-10-12 9:40:05,positive,60,,
215,246,5118e9c5-1377-4cc5-a486-65b35b7b7b76,want,2020-12-12 12:22:24,positive,70,,
216,247,5118e9c5-1377-4cc5-a486-65b35b7b7b76,like,2021-01-09 16:37:02,positive,50,,
217,248,5118e9c5-1377-4cc5-a486-65b35b7b7b76,hate,2020-08-23 4:39:40,negative,5,,
218,249,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,2020-12-22 4:20:41,positive,65,,
219,250,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,2020-11-07 8:49:52,negative,0,,
220,251,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,2021-04-17 22:45:10,positive,72,,
221,252,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,2021-04-21 0:21:08,negative,15,,
222,254,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,2020-07-06 2:08:44,positive,45,,
223,255,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,2021-03-26 5:42:40,positive,65,,
224,258,0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,2020-09-13 11:24:46,positive,70,GIF,tennis
225,259,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,2021-01-28 21:06:52,negative,12,GIF,tennis
226,260,0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,2021-01-20 1:15:51,neutral,20,GIF,tennis
227,261,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,2020-09-03 1:15:28,positive,75,GIF,tennis
228,262,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,2021-01-09 10:46:06,negative,12,GIF,tennis
229,263,0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,2020-09-19 22:29:36,neutral,20,GIF,tennis
230,264,0be59876-d70c-486c-8e0b-a06bef7a2cd6,super love,2021-05-29 7:21:43,positive,75,GIF,tennis
231,265,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,2021-05-15 19:04:28,negative,12,GIF,tennis
232,266,0be59876-d70c-486c-8e0b-a06bef7a2cd6,intrigued,2020-08-15 12:27:11,positive,45,GIF,tennis
233,268,0be59876-d70c-486c-8e0b-a06bef7a2cd6,peeking,2021-02-15 3:32:10,neutral,35,GIF,tennis
234,269,0be59876-d70c-486c-8e0b-a06bef7a2cd6,scared,2021-03-29 19:03:01,negative,15,GIF,tennis
235,270,0be59876-d70c-486c-8e0b-a06bef7a2cd6,scared,2020-07-29 10:40:21,negative,15,GIF,tennis
